Limited Liability Partnerships,Year,Country,ONS-code,Value
on-register-at-start-of-period,2010,england-and-wales,E92000001,38422
-incorporations,2010,england-and-wales,E92000001,9513
-dissolved,2010,england-and-wales,E92000001,5091
-restored-to-the-register,2010,england-and-wales,E92000001,101
on-register-at-end-of-period,2010,england-and-wales,E92000001,42945
-in-liquidation,2010,england-and-wales,E92000001,332
-in-course-of-dissolution,2010,england-and-wales,E92000001,2131
effective-numbers-on-register-at-end-of-period,2010,england-and-wales,E92000001,40482
on-register-at-start-of-period,2010,scotland,S92000003,2162
-incorporations,2010,scotland,S92000003,501
-dissolved,2010,scotland,S92000003,301
-restored-to-the-register,2010,scotland,S92000003,1
on-register-at-end-of-period,2010,scotland,S92000003,2363
-in-liquidation,2010,scotland,S92000003,10
-in-course-of-dissolution,2010,scotland,S92000003,107
effective-numbers-on-register-at-end-of-period,2010,scotland,S92000003,2246
on-register-at-start-of-period,2010,northern-ireland,N92000002,590
-incorporations,2010,northern-ireland,N92000002,131
-dissolved,2010,northern-ireland,N92000002,97
-restored-to-the-register,2010,northern-ireland,N92000002,0
on-register-at-end-of-period,2010,northern-ireland,N92000002,624
-in-liquidation,2010,northern-ireland,N92000002,11
-in-course-of-dissolution,2010,northern-ireland,N92000002,100
effective-numbers-on-register-at-end-of-period,2010,northern-ireland,N92000002,513
on-register-at-start-of-period,2010,united-kingdom,K02000001,41174
-incorporations,2010,united-kingdom,K02000001,10145
-dissolved,2010,united-kingdom,K02000001,5489
-restored-to-the-register,2010,united-kingdom,K02000001,102
on-register-at-end-of-period,2010,united-kingdom,K02000001,45932
-in-liquidation,2010,united-kingdom,K02000001,353
-in-course-of-dissolution,2010,united-kingdom,K02000001,2338
effective-numbers-on-register-at-end-of-period,2010,united-kingdom,K02000001,43241
on-register-at-start-of-period,2012,england-and-wales,E92000001,49000
-incorporations,2012,england-and-wales,E92000001,9893
-dissolved,2012,england-and-wales,E92000001,5529
-restored-to-the-register,2012,england-and-wales,E92000001,108
on-register-at-end-of-period,2012,england-and-wales,E92000001,53472
-in-liquidation,2012,england-and-wales,E92000001,506
-in-course-of-dissolution,2012,england-and-wales,E92000001,2666
effective-numbers-on-register-at-end-of-period,2012,england-and-wales,E92000001,50300
on-register-at-start-of-period,2012,scotland,S92000003,2695
-incorporations,2012,scotland,S92000003,482
-dissolved,2012,scotland,S92000003,321
-restored-to-the-register,2012,scotland,S92000003,9
on-register-at-end-of-period,2012,scotland,S92000003,2865
-in-liquidation,2012,scotland,S92000003,21
-in-course-of-dissolution,2012,scotland,S92000003,183
effective-numbers-on-register-at-end-of-period,2012,scotland,S92000003,2661
on-register-at-start-of-period,2012,northern-ireland,N92000002,653
-incorporations,2012,northern-ireland,N92000002,115
-dissolved,2012,northern-ireland,N92000002,87
-restored-to-the-register,2012,northern-ireland,N92000002,5
on-register-at-end-of-period,2012,northern-ireland,N92000002,686
-in-liquidation,2012,northern-ireland,N92000002,23
-in-course-of-dissolution,2012,northern-ireland,N92000002,41
effective-numbers-on-register-at-end-of-period,2012,northern-ireland,N92000002,622
on-register-at-start-of-period,2012,united-kingdom,K02000001,52348
-incorporations,2012,united-kingdom,K02000001,10490
-dissolved,2012,united-kingdom,K02000001,5937
-restored-to-the-register,2012,united-kingdom,K02000001,122
on-register-at-end-of-period,2012,united-kingdom,K02000001,57023
-in-liquidation,2012,united-kingdom,K02000001,550
-in-course-of-dissolution,2012,united-kingdom,K02000001,2890
effective-numbers-on-register-at-end-of-period,2012,united-kingdom,K02000001,53583
on-register-at-start-of-period,2013,england-and-wales,E92000001,53472
-incorporations,2013,england-and-wales,E92000001,8472
-dissolved,2013,england-and-wales,E92000001,6046
-restored-to-the-register,2013,england-and-wales,E92000001,103
on-register-at-end-of-period,2013,england-and-wales,E92000001,55920
-in-liquidation,2013,england-and-wales,E92000001,531
-in-course-of-dissolution,2013,england-and-wales,E92000001,2791
effective-numbers-on-register-at-end-of-period,2013,england-and-wales,E92000001,52598
on-register-at-start-of-period,2013,scotland,S92000003,2865
-incorporations,2013,scotland,S92000003,501
-dissolved,2013,scotland,S92000003,367
-restored-to-the-register,2013,scotland,S92000003,9
on-register-at-end-of-period,2013,scotland,S92000003,3008
-in-liquidation,2013,scotland,S92000003,20
-in-course-of-dissolution,2013,scotland,S92000003,158
effective-numbers-on-register-at-end-of-period,2013,scotland,S92000003,2830
on-register-at-start-of-period,2013,northern-ireland,N92000002,686
-incorporations,2013,northern-ireland,N92000002,148
-dissolved,2013,northern-ireland,N92000002,75
-restored-to-the-register,2013,northern-ireland,N92000002,1
on-register-at-end-of-period,2013,northern-ireland,N92000002,761
-in-liquidation,2013,northern-ireland,N92000002,25
-in-course-of-dissolution,2013,northern-ireland,N92000002,43
effective-numbers-on-register-at-end-of-period,2013,northern-ireland,N92000002,693
on-register-at-start-of-period,2013,united-kingdom,K02000001,57023
-incorporations,2013,united-kingdom,K02000001,9121
-dissolved,2013,united-kingdom,K02000001,6488
-restored-to-the-register,2013,united-kingdom,K02000001,113
on-register-at-end-of-period,2013,united-kingdom,K02000001,59689
-in-liquidation,2013,united-kingdom,K02000001,576
-in-course-of-dissolution,2013,united-kingdom,K02000001,2992
effective-numbers-on-register-at-end-of-period,2013,united-kingdom,K02000001,56121
on-register-at-start-of-period,2014,england-and-wales,E92000001,55920
-incorporations,2014,england-and-wales,E92000001,6789
-dissolved,2014,england-and-wales,E92000001,6506
-restored-to-the-register,2014,england-and-wales,E92000001,102
on-register-at-end-of-period,2014,england-and-wales,E92000001,56305
-in-liquidation,2014,england-and-wales,E92000001,550
-in-course-of-dissolution,2014,england-and-wales,E92000001,3254
effective-numbers-on-register-at-end-of-period,2014,england-and-wales,E92000001,52501
on-register-at-start-of-period,2014,scotland,S92000003,3008
-incorporations,2014,scotland,S92000003,446
-dissolved,2014,scotland,S92000003,392
-restored-to-the-register,2014,scotland,S92000003,12
on-register-at-end-of-period,2014,scotland,S92000003,3074
-in-liquidation,2014,scotland,S92000003,19
-in-course-of-dissolution,2014,scotland,S92000003,143
effective-numbers-on-register-at-end-of-period,2014,scotland,S92000003,2912
on-register-at-start-of-period,2014,northern-ireland,N92000002,761
-incorporations,2014,northern-ireland,N92000002,130
-dissolved,2014,northern-ireland,N92000002,90
-restored-to-the-register,2014,northern-ireland,N92000002,1
on-register-at-end-of-period,2014,northern-ireland,N92000002,802
-in-liquidation,2014,northern-ireland,N92000002,26
-in-course-of-dissolution,2014,northern-ireland,N92000002,60
effective-numbers-on-register-at-end-of-period,2014,northern-ireland,N92000002,716
on-register-at-start-of-period,2014,united-kingdom,K02000001,59689
-incorporations,2014,united-kingdom,K02000001,7365
-dissolved,2014,united-kingdom,K02000001,6988
-restored-to-the-register,2014,united-kingdom,K02000001,115
on-register-at-end-of-period,2014,united-kingdom,K02000001,60181
-in-liquidation,2014,united-kingdom,K02000001,595
-in-course-of-dissolution,2014,united-kingdom,K02000001,3457
effective-numbers-on-register-at-end-of-period,2014,united-kingdom,K02000001,56129
on-register-at-start-of-period,2015,england-and-wales,E92000001,56305
-incorporations,2015,england-and-wales,E92000001,8025
-dissolved,2015,england-and-wales,E92000001,7916
-restored-to-the-register,2015,england-and-wales,E92000001,145
on-register-at-end-of-period,2015,england-and-wales,E92000001,56413
-in-liquidation,2015,england-and-wales,E92000001,634
-in-course-of-dissolution,2015,england-and-wales,E92000001,2780
effective-numbers-on-register-at-end-of-period,2015,england-and-wales,E92000001,53031
on-register-at-start-of-period,2015,scotland,S92000003,3074
-incorporations,2015,scotland,S92000003,360
-dissolved,2015,scotland,S92000003,389
-restored-to-the-register,2015,scotland,S92000003,6
on-register-at-end-of-period,2015,scotland,S92000003,3061
-in-liquidation,2015,scotland,S92000003,17
-in-course-of-dissolution,2015,scotland,S92000003,128
effective-numbers-on-register-at-end-of-period,2015,scotland,S92000003,2916
on-register-at-start-of-period,2015,northern-ireland,N92000002,802
-incorporations,2015,northern-ireland,N92000002,68
-dissolved,2015,northern-ireland,N92000002,135
-restored-to-the-register,2015,northern-ireland,N92000002,2
on-register-at-end-of-period,2015,northern-ireland,N92000002,734
-in-liquidation,2015,northern-ireland,N92000002,27
-in-course-of-dissolution,2015,northern-ireland,N92000002,32
effective-numbers-on-register-at-end-of-period,2015,northern-ireland,N92000002,675
on-register-at-start-of-period,2015,united-kingdom,K02000001,60181
-incorporations,2015,united-kingdom,K02000001,8453
-dissolved,2015,united-kingdom,K02000001,8440
-restored-to-the-register,2015,united-kingdom,K02000001,153
on-register-at-end-of-period,2015,united-kingdom,K02000001,60208
-in-liquidation,2015,united-kingdom,K02000001,678
-in-course-of-dissolution,2015,united-kingdom,K02000001,2940
effective-numbers-on-register-at-end-of-period,2015,united-kingdom,K02000001,56622
on-register-at-start-of-period,2016,england-and-wales,E92000001,56413
-incorporations,2016,england-and-wales,E92000001,8663
-dissolved,2016,england-and-wales,E92000001,8130
-restored-to-the-register,2016,england-and-wales,E92000001,140
on-register-at-end-of-period,2016,england-and-wales,E92000001,56998
-in-liquidation,2016,england-and-wales,E92000001,654
-in-course-of-dissolution,2016,england-and-wales,E92000001,4343
effective-numbers-on-register-at-end-of-period,2016,england-and-wales,E92000001,52001
on-register-at-start-of-period,2016,scotland,S92000003,3061
-incorporations,2016,scotland,S92000003,385
-dissolved,2016,scotland,S92000003,374
-restored-to-the-register,2016,scotland,S92000003,14
on-register-at-end-of-period,2016,scotland,S92000003,3083
-in-liquidation,2016,scotland,S92000003,21
-in-course-of-dissolution,2016,scotland,S92000003,139
effective-numbers-on-register-at-end-of-period,2016,scotland,S92000003,2923
on-register-at-start-of-period,2016,northern-ireland,N92000002,734
-incorporations,2016,northern-ireland,N92000002,72
-dissolved,2016,northern-ireland,N92000002,119
-restored-to-the-register,2016,northern-ireland,N92000002,2
on-register-at-end-of-period,2016,northern-ireland,N92000002,691
-in-liquidation,2016,northern-ireland,N92000002,32
-in-course-of-dissolution,2016,northern-ireland,N92000002,31
effective-numbers-on-register-at-end-of-period,2016,northern-ireland,N92000002,628
on-register-at-start-of-period,2016,united-kingdom,K02000001,60208
-incorporations,2016,united-kingdom,K02000001,9120
-dissolved,2016,united-kingdom,K02000001,8623
-restored-to-the-register,2016,united-kingdom,K02000001,156
on-register-at-end-of-period,2016,united-kingdom,K02000001,60772
-in-liquidation,2016,united-kingdom,K02000001,707
-in-course-of-dissolution,2016,united-kingdom,K02000001,4513
effective-numbers-on-register-at-end-of-period,2016,united-kingdom,K02000001,55552
on-register-at-start-of-period,2017,england-and-wales,E92000001,56998
-incorporations,2017,england-and-wales,E92000001,5062
-dissolved,2017,england-and-wales,E92000001,12254
-restored-to-the-register,2017,england-and-wales,E92000001,170
on-register-at-end-of-period,2017,england-and-wales,E92000001,50086
-in-liquidation,2017,england-and-wales,E92000001,792
-in-course-of-dissolution,2017,england-and-wales,E92000001,2148
effective-numbers-on-register-at-end-of-period,2017,england-and-wales,E92000001,47146
on-register-at-start-of-period,2017,scotland,S92000003,3083
-incorporations,2017,scotland,S92000003,332
-dissolved,2017,scotland,S92000003,349
-restored-to-the-register,2017,scotland,S92000003,7
on-register-at-end-of-period,2017,scotland,S92000003,3066
-in-liquidation,2017,scotland,S92000003,27
-in-course-of-dissolution,2017,scotland,S92000003,130
effective-numbers-on-register-at-end-of-period,2017,scotland,S92000003,2909
on-register-at-start-of-period,2017,northern-ireland,N92000002,691
-incorporations,2017,northern-ireland,N92000002,89
-dissolved,2017,northern-ireland,N92000002,95
-restored-to-the-register,2017,northern-ireland,N92000002,3
on-register-at-end-of-period,2017,northern-ireland,N92000002,690
-in-liquidation,2017,northern-ireland,N92000002,30
-in-course-of-dissolution,2017,northern-ireland,N92000002,28
effective-numbers-on-register-at-end-of-period,2017,northern-ireland,N92000002,632
on-register-at-start-of-period,2017,united-kingdom,K02000001,60772
-incorporations,2017,united-kingdom,K02000001,5483
-dissolved,2017,united-kingdom,K02000001,12698
-restored-to-the-register,2017,united-kingdom,K02000001,180
on-register-at-end-of-period,2017,united-kingdom,K02000001,53842
-in-liquidation,2017,united-kingdom,K02000001,849
-in-course-of-dissolution,2017,united-kingdom,K02000001,2306
effective-numbers-on-register-at-end-of-period,2017,united-kingdom,K02000001,50687
on-register-at-start-of-period,2018,england-and-wales,E92000001,50086
-incorporations,2018,england-and-wales,E92000001,4935
-dissolved,2018,england-and-wales,E92000001,6353
-restored-to-the-register,2018,england-and-wales,E92000001,119
on-register-at-end-of-period,2018,england-and-wales,E92000001,48755
-in-liquidation,2018,england-and-wales,E92000001,679
-in-course-of-dissolution,2018,england-and-wales,E92000001,1997
effective-numbers-on-register-at-end-of-period,2018,england-and-wales,E92000001,46079
on-register-at-start-of-period,2018,scotland,S92000003,3066
-incorporations,2018,scotland,S92000003,301
-dissolved,2018,scotland,S92000003,387
-restored-to-the-register,2018,scotland,S92000003,7
on-register-at-end-of-period,2018,scotland,S92000003,2996
-in-liquidation,2018,scotland,S92000003,33
-in-course-of-dissolution,2018,scotland,S92000003,150
effective-numbers-on-register-at-end-of-period,2018,scotland,S92000003,2813
on-register-at-start-of-period,2018,northern-ireland,N92000002,690
-incorporations,2018,northern-ireland,N92000002,62
-dissolved,2018,northern-ireland,N92000002,76
-restored-to-the-register,2018,northern-ireland,N92000002,1
on-register-at-end-of-period,2018,northern-ireland,N92000002,676
-in-liquidation,2018,northern-ireland,N92000002,28
-in-course-of-dissolution,2018,northern-ireland,N92000002,30
effective-numbers-on-register-at-end-of-period,2018,northern-ireland,N92000002,618
on-register-at-start-of-period,2018,united-kingdom,K02000001,53842
-incorporations,2018,united-kingdom,K02000001,5298
-dissolved,2018,united-kingdom,K02000001,6816
-restored-to-the-register,2018,united-kingdom,K02000001,127
on-register-at-end-of-period,2018,united-kingdom,K02000001,52427
-in-liquidation,2018,united-kingdom,K02000001,740
-in-course-of-dissolution,2018,united-kingdom,K02000001,2177
effective-numbers-on-register-at-end-of-period,2018,united-kingdom,K02000001,49510
on-register-at-start-of-period,2019,england-and-wales,E92000001,48755
-incorporations,2019,england-and-wales,E92000001,4618
-dissolved,2019,england-and-wales,E92000001,6042
-restored-to-the-register,2019,england-and-wales,E92000001,142
on-register-at-end-of-period,2019,england-and-wales,E92000001,47626
-in-liquidation,2019,england-and-wales,E92000001,686
-in-course-of-dissolution,2019,england-and-wales,E92000001,1730
effective-numbers-on-register-at-end-of-period,2019,england-and-wales,E92000001,45210
on-register-at-start-of-period,2019,scotland,S92000003,2996
-incorporations,2019,scotland,S92000003,244
-dissolved,2019,scotland,S92000003,360
-restored-to-the-register,2019,scotland,S92000003,7
on-register-at-end-of-period,2019,scotland,S92000003,2895
-in-liquidation,2019,scotland,S92000003,27
-in-course-of-dissolution,2019,scotland,S92000003,95
effective-numbers-on-register-at-end-of-period,2019,scotland,S92000003,2773
on-register-at-start-of-period,2019,northern-ireland,N92000002,676
-incorporations,2019,northern-ireland,N92000002,47
-dissolved,2019,northern-ireland,N92000002,93
-restored-to-the-register,2019,northern-ireland,N92000002,2
on-register-at-end-of-period,2019,northern-ireland,N92000002,632
-in-liquidation,2019,northern-ireland,N92000002,18
-in-course-of-dissolution,2019,northern-ireland,N92000002,26
effective-numbers-on-register-at-end-of-period,2019,northern-ireland,N92000002,588
on-register-at-start-of-period,2019,united-kingdom,K02000001,52427
-incorporations,2019,united-kingdom,K02000001,4909
-dissolved,2019,united-kingdom,K02000001,6495
-restored-to-the-register,2019,united-kingdom,K02000001,151
on-register-at-end-of-period,2019,united-kingdom,K02000001,51153
-in-liquidation,2019,united-kingdom,K02000001,731
-in-course-of-dissolution,2019,united-kingdom,K02000001,1851
effective-numbers-on-register-at-end-of-period,2019,united-kingdom,K02000001,48571
on-register-at-start-of-period,2020,england-and-wales,E92000001,47626
-incorporations,2020,england-and-wales,E92000001,5338
-dissolved,2020,england-and-wales,E92000001,4229
-restored-to-the-register,2020,england-and-wales,E92000001,67
on-register-at-end-of-period,2020,england-and-wales,E92000001,48676
-in-liquidation,2020,england-and-wales,E92000001,674
-in-course-of-dissolution,2020,england-and-wales,E92000001,1734
effective-numbers-on-register-at-end-of-period,2020,england-and-wales,E92000001,46268
on-register-at-start-of-period,2020,scotland,S92000003,2895
-incorporations,2020,scotland,S92000003,280
-dissolved,2020,scotland,S92000003,225
-restored-to-the-register,2020,scotland,S92000003,6
on-register-at-end-of-period,2020,scotland,S92000003,2956
-in-liquidation,2020,scotland,S92000003,25
-in-course-of-dissolution,2020,scotland,S92000003,107
effective-numbers-on-register-at-end-of-period,2020,scotland,S92000003,2824
on-register-at-start-of-period,2020,northern-ireland,N92000002,632
-incorporations,2020,northern-ireland,N92000002,48
-dissolved,2020,northern-ireland,N92000002,52
-restored-to-the-register,2020,northern-ireland,N92000002,1
on-register-at-end-of-period,2020,northern-ireland,N92000002,629
-in-liquidation,2020,northern-ireland,N92000002,18
-in-course-of-dissolution,2020,northern-ireland,N92000002,27
effective-numbers-on-register-at-end-of-period,2020,northern-ireland,N92000002,584
on-register-at-start-of-period,2020,united-kingdom,K02000001,51153
-incorporations,2020,united-kingdom,K02000001,5666
-dissolved,2020,united-kingdom,K02000001,4506
-restored-to-the-register,2020,united-kingdom,K02000001,74
on-register-at-end-of-period,2020,united-kingdom,K02000001,52261
-in-liquidation,2020,united-kingdom,K02000001,717
-in-course-of-dissolution,2020,united-kingdom,K02000001,1868
effective-numbers-on-register-at-end-of-period,2020,united-kingdom,K02000001,49676
on-register-at-start-of-period,2021,england-and-wales,E92000001,48676
-incorporations,2021,england-and-wales,E92000001,5102
-dissolved,2021,england-and-wales,E92000001,5115
-restored-to-the-register,2021,england-and-wales,E92000001,102
on-register-at-end-of-period,2021,england-and-wales,E92000001,48788
-in-liquidation,2021,england-and-wales,E92000001,659
-in-course-of-dissolution,2021,england-and-wales,E92000001,1869
effective-numbers-on-register-at-end-of-period,2021,england-and-wales,E92000001,46260
on-register-at-start-of-period,2021,scotland,S92000003,2956
-incorporations,2021,scotland,S92000003,328
-dissolved,2021,scotland,S92000003,291
-restored-to-the-register,2021,scotland,S92000003,7
on-register-at-end-of-period,2021,scotland,S92000003,2998
-in-liquidation,2021,scotland,S92000003,23
-in-course-of-dissolution,2021,scotland,S92000003,82
effective-numbers-on-register-at-end-of-period,2021,scotland,S92000003,2893
on-register-at-start-of-period,2021,northern-ireland,N92000002,629
-incorporations,2021,northern-ireland,N92000002,42
-dissolved,2021,northern-ireland,N92000002,64
-restored-to-the-register,2021,northern-ireland,N92000002,2
on-register-at-end-of-period,2021,northern-ireland,N92000002,607
-in-liquidation,2021,northern-ireland,N92000002,18
-in-course-of-dissolution,2021,northern-ireland,N92000002,23
effective-numbers-on-register-at-end-of-period,2021,northern-ireland,N92000002,566
on-register-at-start-of-period,2021,united-kingdom,K02000001,52261
-incorporations,2021,united-kingdom,K02000001,5472
-dissolved,2021,united-kingdom,K02000001,5470
-restored-to-the-register,2021,united-kingdom,K02000001,111
on-register-at-end-of-period,2021,united-kingdom,K02000001,52393
-in-liquidation,2021,united-kingdom,K02000001,700
-in-course-of-dissolution,2021,united-kingdom,K02000001,1974
effective-numbers-on-register-at-end-of-period,2021,united-kingdom,K02000001,49719
